,stuck,oob,success,dnf,not_progressing,lap_times,episode,pct_complete,total_time,total_distance,average_speed_kph,average_displacement_error,trajectory_efficiency,trajectory_admissibility,movement_smoothness,timestep/sec
143,False,True,False,False,False,[],1144,0.2,8.74,30.43,12.53,1.66,0.205,0.8,5.512,8.81
144,False,True,False,False,False,[],1145,0.2,7.39,26.91,13.11,1.53,0.186,0.674,4.655,8.93
145,False,True,False,False,False,[],1146,0.4,12.64,41.44,11.8,1.73,0.056,0.67,6.829,8.78
146,False,True,False,False,False,[],1147,0.2,15.71,22.26,5.1,1.49,0.001,0.745,6.321,8.79
147,False,True,False,False,False,[],1148,0.2,9.53,19.39,7.32,1.53,0.0,0.734,5.551,8.81
148,False,True,False,False,False,[],1149,0.9,20.62,101.98,17.81,1.75,0.001,0.836,8.537,9.02
149,False,True,False,False,False,[],1150,0.2,6.62,19.21,10.44,2.24,0.155,0.706,5.767,8.76
150,False,True,False,False,False,[],1151,0.1,5.85,17.26,10.61,1.53,0.144,0.721,6.561,8.71
151,False,True,False,False,False,[],1152,0.1,4.34,17.56,14.56,2.1,0.144,0.676,5.049,8.75
152,False,True,False,False,False,[],1153,0.2,6.18,24.12,14.05,2.43,0.186,0.64,6.121,8.74
153,False,True,False,False,False,[],1154,0.2,5.58,20.54,13.25,1.66,0.177,0.68,4.627,8.78
154,False,True,False,False,False,[],1155,0.4,9.35,43.89,16.89,1.74,0.199,0.73,7.267,8.77
155,False,True,False,False,False,[],1156,0.5,9.99,55.36,19.96,3.0,0.174,0.574,6.404,8.81
156,False,True,False,False,False,[],1157,0.2,5.34,25.18,16.97,2.17,0.188,0.674,6.044,8.8
157,False,True,False,False,False,[],1158,1.6,18.67,186.14,35.9,1.76,0.239,0.843,8.622,8.79
158,False,True,False,False,False,[],1159,0.3,8.52,42.79,18.07,1.2,0.197,0.77,5.714,8.8
159,False,True,False,False,False,[],1160,0.2,7.43,23.96,11.61,2.02,0.198,0.697,5.974,8.75
160,False,True,False,False,False,[],1161,0.2,6.34,24.61,13.98,1.76,0.067,0.733,5.719,8.83
161,False,True,False,False,False,[],1162,0.6,11.88,68.16,20.66,1.77,0.196,0.782,7.43,8.75
162,False,True,False,False,False,[],1163,0.2,5.36,25.17,16.89,2.2,0.183,0.617,5.254,8.76
163,False,True,False,False,False,[],1164,0.7,10.66,83.46,28.18,0.97,0.218,0.854,6.992,8.72
164,False,True,False,False,False,[],1165,0.6,8.98,65.06,26.1,2.22,0.202,0.731,6.249,8.02
165,False,True,False,False,False,[],1166,1.4,21.81,164.89,27.22,1.67,0.207,0.839,8.762,8.76
166,False,True,False,False,False,[],1167,0.2,6.63,23.47,12.75,1.93,0.028,0.737,6.118,8.75
167,False,True,False,False,False,[],1168,0.6,19.97,69.19,12.47,1.0,0.015,0.85,8.037,8.76
168,False,True,False,False,False,[],1169,0.3,15.34,48.14,11.29,1.43,0.187,0.808,6.468,8.73
169,False,True,False,False,False,[],1170,0.2,8.49,28.81,12.21,2.07,0.026,0.714,6.378,8.71
170,False,True,False,False,False,[],1171,0.3,8.34,42.63,18.41,1.87,0.192,0.713,5.921,8.76
171,False,True,False,False,False,[],1172,0.2,9.11,23.16,9.15,1.34,0.004,0.777,6.256,8.79
172,False,True,False,False,False,[],1173,0.2,7.86,20.39,9.34,1.91,0.161,0.793,5.217,8.78
173,False,True,False,False,False,[],1174,0.2,8.23,19.17,8.38,1.98,0.007,0.713,5.846,8.99
